Treatment,BaselineVsRest,Year,Scenario_ID,Soil_CSeq_MT/ha,CH4_MTCO2eq/ha,N2O_MTCO2eq/ha,Biomass_C_MT/ha,SiteArea_ha ,Total_GHG_benefit_MT/ha,Soil_CSeq_MT,CH4_MTCO2eq,N2O_MTCO2eq,Biomass_C_MT,Total_GHG benefit_MT,Cumulative_gains,,Notes,,,,,,,,,,,,
Seed,Baseline ,0,SB_0,0.169,0.03,0.06,0,1,0.079,0.169,0.03,0.06,0,0.079,0.079,,,,,,,,,,,,,,
Seed,Restoration,0,SR_0,0.169,0.03,0.06,0,1,0.079,0.169,0.03,0.06,0,0.079,0.079,,,,,,,,,,,,,,
Seed,Baseline ,1,SB_1,0.169,0.03,0.06,0,2,0.079,0.338,0.06,0.12,0,0.158,0.237,,"Soil C rate has to be the ""equivalent area"" for the baseline",,,,,,,,,,,,
Seed,Restoration,1,SR_1,0.2,0.047,0.066,0.03,2,0.117,0.4,0.094,0.132,0.06,0.234,0.313,,,,,,,,,,,,,,
Seed,Baseline ,2,SB_2,0.169,0.03,0.06,0,4,0.079,0.676,0.12,0.24,0,0.316,0.553,,Maybe we can generate the linear (or non linear) relationship in McGlathery et al. 2012 for biomass and sed Corg over time to help select/inform these scario values? ,,,,,,,,,,,,
Seed,Restoration,2,SR_2,0.24,0.064,0.072,0.06,4,0.164,0.96,0.256,0.288,0.24,0.656,0.969,,"^ I think ultimately, we will have to decide on these relationships (log? hwhat about methane and N2O?)",,,,,,,,,,,,
Seed,Baseline ,3,SB_3,0.169,0.03,0.06,0,6,0.079,1.014,0.18,0.36,0,0.474,1.027,,,,,,,,,,,,,,
Seed,Restoration,3,SR_3,0.26,0.081,0.078,0.09,6,0.191,1.56,0.486,0.468,0.54,1.146,2.115,,,,,,,,,,,,,,
Seed,Baseline ,4,SB_4,0.169,0.03,0.06,0,8,0.079,1.352,0.24,0.48,0,0.632,1.659,,"For biomass, if we can use McGlaterh and Oreska to go from shoot densities to C/ha, we can use this relationship. Shows an increase after the ~5 yr mark. ",,,,,,,,,,,,
Seed,Restoration,4,SR_4,0.29,0.098,0.084,0.12,8,0.228,2.32,0.784,0.672,0.96,1.824,3.939,,,,,,,,,,,,,,
Seed,Baseline ,5,SB_5,0.169,0.03,0.06,0,20,0.079,3.38,0.6,1.2,0,1.58,3.239,,,,,,,,,,,,,,
Seed,Restoration,5,SR_5,0.37,0.115,0.09,0.18,20,0.345,7.4,2.3,1.8,3.6,6.9,10.839,,,,,,,,,,,,,,
Seed,Baseline ,6,SB_6,0.169,0.03,0.06,0,30,0.079,5.07,0.9,1.8,0,2.37,5.609,,"Shoot densities really fill in around the 5 yr mark. this can be refelcted in our time series of biomass and site area (see McGlathery et al. 2012). Also, Initially, for meadows 1 to 2 yr after seeding, there were no differences between the sediment OM in the meadows and the nearby bare sediments. There was an increasing trend in %OM in meadows 4 and 7 yr after seeding, and the OM was significantly higher in meadows 9 yr after seeding (McGlathery et al. 2012) ",,,,,,,,,,,,
Seed,Restoration,6,SR_6,0.47,0.132,0.096,0.28,30,0.522,14.1,3.96,2.88,8.4,15.66,26.499,,,,,,,,,,,,,,
Seed,Baseline ,7,SB_7,0.169,0.03,0.06,0,40,0.079,6.76,1.2,2.4,0,3.16,8.769,,"I have no data to inform how the CH4 fluxes or N2O change over time, so all we can do is assume a linear increase from the basline (un veg) to the estimated value in Oreska",,,,,,,,,,,,
Seed,Restoration,7,SR_7,0.57,0.149,0.102,0.38,40,0.699,22.8,5.96,4.08,15.2,27.96,54.459,,,,,,,,,,,,,,
Seed,Baseline ,8,SB_8,0.169,0.03,0.06,0,50,0.079,8.45,1.5,3,0,3.95,12.719,,,,,,,,,,,,,,
Seed,Restoration,8,SR_8,0.67,0.166,0.108,0.48,50,0.876,33.5,8.3,5.4,24,43.8,98.259,,,,,,,,,,,,,,
Seed,Baseline ,9,SB_9,0.169,0.03,0.06,0,55,0.079,9.295,1.65,3.3,0,4.345,17.064,,,,,,,,,,,,,,
Seed,Restoration,9,SR_9,0.77,0.183,0.114,0.58,55,1.053,42.35,10.065,6.27,31.9,57.915,156.174,,,,,,,,,,,,,,
Seed,Baseline ,10,SB_10,0.169,0.03,0.06,0,60,0.079,10.14,1.8,3.6,0,4.74,21.804,,,,,,,,,,,,,,
Seed,Restoration,10,SR_10,0.87,0.2,0.12,0.65,60,1.2,52.2,12,7.2,39,72,228.174,,,,,,,,,,,,,,
Transplant ,Baseline ,0,TB,0.169,0.03,0.06,0,1,0.079,0.169,0.03,0.06,0,0.079,0.079,,,,,,,,,,,,,,
Transplant ,Restoration,0,TR,0.169,0.03,0.06,0.1,1,0.179,0.169,0.03,0.06,0.1,0.179,0.179,,,,,,,,,,,,,,
Transplant ,Baseline ,1,TB,0.169,0.03,0.06,0,8,0.079,1.352,0.24,0.48,0,0.632,0.711,,,,,,,,,,,,,,
Transplant ,Restoration,1,TR,0.25,0.047,0.066,0.2,8,0.337,2,0.376,0.528,1.6,2.696,2.875,,,,,,,,,,,,,,
Transplant ,Baseline ,2,TB,0.169,0.03,0.06,0,20,0.079,3.38,0.6,1.2,0,1.58,2.291,,,,,,,,,,,,,,
Transplant ,Restoration,2,TR,0.27,0.064,0.072,0.25,20,0.384,5.4,1.28,1.44,5,7.68,10.555,,,,,,,,,,,,,,
Transplant ,Baseline ,3,TB,0.169,0.03,0.06,0,30,0.079,5.07,0.9,1.8,0,2.37,4.661,,"Adjusted so that the sed accumaltion rates and project size end up the same/ reach the same level, but a bit faster than the seeding project",,,,,,,,,,,,
Transplant ,Restoration,3,TR,0.3,0.081,0.078,0.3,30,0.441,9,2.43,2.34,9,13.23,23.785,,,,,,,,,,,,,,
Transplant ,Baseline ,4,TB,0.169,0.03,0.06,0,35,0.079,5.915,1.05,2.1,0,2.765,7.426,,,,,,,,,,,,,,
Transplant ,Restoration,4,TR,0.34,0.098,0.084,0.35,35,0.508,11.9,3.43,2.94,12.25,17.78,41.565,,,,,,,,,,,,,,
Transplant ,Baseline ,5,TB,0.169,0.03,0.06,0,40,0.079,6.76,1.2,2.4,0,3.16,10.586,,,,,,,,,,,,,,
Transplant ,Restoration,5,TR,0.37,0.115,0.09,0.4,40,0.565,14.8,4.6,3.6,16,22.6,64.165,,,,,,,,,,,,,,
Transplant ,Baseline ,6,TB,0.169,0.03,0.06,0,45,0.079,7.605,1.35,2.7,0,3.555,14.141,,,,,,,,,,,,,,
Transplant ,Restoration,6,TR,0.47,0.132,0.096,0.45,45,0.692,21.15,5.94,4.32,20.25,31.14,95.305,,,,,,,,,,,,,,
Transplant ,Baseline ,7,TB,0.169,0.03,0.06,0,50,0.079,8.45,1.5,3,0,3.95,18.091,,,,,,,,,,,,,,
Transplant ,Restoration,7,TR,0.57,0.149,0.102,0.55,50,0.869,28.5,7.45,5.1,27.5,43.45,138.755,,,,,,,,,,,,,,
Transplant ,Baseline ,8,TB,0.169,0.03,0.06,0,55,0.079,9.295,1.65,3.3,0,4.345,22.436,,,,,,,,,,,,,,
Transplant ,Restoration,8,TR,0.67,0.166,0.108,0.6,55,0.996,36.85,9.13,5.94,33,54.78,193.535,,,,,,,,,,,,,,
Transplant ,Baseline ,9,TB,0.169,0.03,0.06,0,60,0.079,10.14,1.8,3.6,0,4.74,27.176,,,,,,,,,,,,,,
Transplant ,Restoration,9,TR,0.77,0.183,0.114,0.65,60,1.123,46.2,10.98,6.84,39,67.38,260.915,,,,,,,,,,,,,,
Transplant ,Baseline ,10,TB,0.169,0.03,0.06,0,60,0.079,10.14,1.8,3.6,0,4.74,31.916,,,,,,,,,,,,,,
Transplant ,Restoration,10,TR,0.87,0.2,0.12,0.65,60,1.2,52.2,12,7.2,39,72,332.915,,,,,,,,,,,,,,
Infill ,Baseline ,0,IB,0.169,0,0,0,6,0.169,1.014,0,0,0,1.014,1.014,,,"The areas for this are going to be weird. It is sort of a two phased thing, so you reset after 1 year. ",,,,,,,,,,,
Infill ,Restoration,0,IR,8,0,0,0,6,8,48,0,0,0,48,48,,,,,,,,,,,,,,
Infill ,Baseline ,1,IB,0.169,0,0,0,6,0.169,1.014,0,0,0,1.014,2.028,,,,,,,,,,,,,,
Infill ,Restoration,1,IR,4,0,0,0,6,4,24,0,0,0,24,72,,,"Note the aeral differences in projhects, an order of magnitude, yet similar carbon gains. ",,,,,,,,,,,
Infill ,Baseline ,2,IB,0.169,0,0,0,1,0.169,0.169,0,0,0,0.169,2.197,,,,,,,,,,,,,,
Infill ,Restoration,2,IR,4.1,0,0,0.1,1,4.2,4.1,0,0,0.1,4.2,76.2,,,,,,,,,,,,,,
Infill ,Baseline ,3,IB,0.169,0,0,0,2,0.169,0.338,0,0,0,0.338,2.535,,,,,,,,,,,,,,
Infill ,Restoration,3,IR,4.2,0,0,0.15,2,4.35,8.4,0,0,0.3,8.7,84.9,,,,,,,,,,,,,,
Infill ,Baseline ,4,IB,0.169,0,0,0,5,0.169,0.845,0,0,0,0.845,3.38,,,,,,,,,,,,,,
Infill ,Restoration,4,IR,4.3,0,0,0.25,5,4.55,21.5,0,0,1.25,22.75,107.65,,,,,,,,,,,,,,
Infill ,Baseline ,5,IB,0.169,0,0,0,6,0.169,1.014,0,0,0,1.014,4.394,,,,,,,,,,,,,,
Infill ,Restoration,5,IR,4.4,0,0,0.4,6,4.8,26.4,0,0,2.4,28.8,136.45,,,,,,,,,,,,,,
Infill ,Baseline ,6,IB,0.169,0,0,0,6,0.169,1.014,0,0,0,1.014,5.408,,,,,,,,,,,,,,
Infill ,Restoration,6,IR,4.5,0,0,0.5,6,5,27,0,0,3,30,166.45,,,,,,,,,,,,,,
Infill ,Baseline ,7,IB,0.169,0,0,0,6,0.169,1.014,0,0,0,1.014,6.422,,,,,,,,,,,,,,
Infill ,Restoration,7,IR,4.6,0,0,0.6,6,5.2,27.6,0,0,3.6,31.2,197.65,,,,,,,,,,,,,,
Infill ,Baseline ,8,IB,0.169,0,0,0,6,0.169,1.014,0,0,0,1.014,7.436,,,,,,,,,,,,,,
Infill ,Restoration,8,IR,4.7,0,0,0.6,6,5.3,28.2,0,0,3.6,31.8,229.45,,,,,,,,,,,,,,
Infill ,Baseline ,9,IB,0.169,0,0,0,6,0.169,1.014,0,0,0,1.014,8.45,,,,,,,,,,,,,,
Infill ,Restoration,9,IR,4.8,0,0,0.65,6,5.45,28.8,0,0,3.9,32.7,262.15,,,,,,,,,,,,,,
Infill ,Baseline ,10,IB,0.169,0,0,0,6,0.169,1.014,0,0,0,1.014,9.464,,,,,,,,,,,,,,
Infill ,Restoration,10,IR,4.9,0,0,0.65,6,5.55,29.4,0,0,3.9,33.3,295.45,,,,,,,,,,,,,,
Conserve,Baseline ,0,CB,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Restoration,0,CR,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Baseline ,1,CB,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Restoration,1,CR,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Baseline ,2,CB,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Restoration,2,CR,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Baseline ,3,CB,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Restoration,3,CR,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Baseline ,4,CB,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Restoration,4,CR,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Baseline ,5,CB,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Restoration,5,CR,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Baseline ,6,CB,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Restoration,6,CR,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Baseline ,7,CB,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Restoration,7,CR,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Baseline ,8,CB,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Restoration,8,CR,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Baseline ,9,CB,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Restoration,9,CR,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Baseline ,10,CB,,,,,,,,,,,,,,,,,,,,,,,,,,
Conserve,Restoration,10,CR,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
